Seqno,RunId,PreProcessor,Optimizer,Regularization,HiddenLayer,HiddenUnit,InputKeepProb,KeepProb,Alpha,lrdecay,decaystep,RS,Epoch,Minibatch,AUC(Train),AUC(Traindev),AUC(Val),AUC(Test),Loss(Train),Accuracy(Train),NullAccuracy(Train),Accuracy(Traindev),NullAccuracy(Traindev),Accuracy(Val),NullAccuracy(Val),Accuracy(Test),NullAccuracy(Test),Duration,StartTime,EndTime,Model Location,TFromDate,TToDate,TrainRow#,ValidationFromD,ValidationToD,TestFromD,TestToD,
22,04YI62,MinMax,Adam,L2,6,68,1,1,0.01,0.99,100,39987,1000,16384,0.8512,0.8272,0.5118,0.5916,0.4492,78.95%,65.15%,76.74%,64.32%,64.28%,69.71%,54.23%,78.59%,0h59'15'',Sat Feb 24 16:58:14 2018,Sat Feb 24 17:57:29 2018,/home/topleaf/stock/savedModel/04YI62,2013/12/31,2016/05/30,440902,2017/07/03,2017/09/30,2017/10/01,2017/12/28,
15,J56JOM,MinMax,Adam,L2,6,84,1,1,0.01,0.99,100,39987,1000,16384,0.8352,0.813,0.5471,0.5653,0.4629,78.16%,66.44%,76.92%,66.63%,68.47%,69.71%,74.15%,78.59%,1h8'7'',Wed Jan 31 15:58:06 2018,Wed Jan 31 17:06:13 2018,/home/topleaf/stock/savedModel/J56JOM,2013/12/31,2016/12/30,578979,2017/07/03,2017/09/30,2017/10/01,2017/12/28,"0.8352,0.813;??????????zhishucode?selectedaverageline??"
27,10MM0S,MinMax,Adam,L2,6,68,1,1,0.01,0.99,100,39987,1000,16384,0.8391,0.817,0.582,0.5957,0.4268,80.80%,71.79%,79.82%,71.93%,69.08%,69.71%,61.96%,78.59%,0h55'25'',Sat Feb 24 22:10:10 2018,Sat Feb 24 23:05:35 2018,/home/topleaf/stock/savedModel/10MM0S,2011/6/30,2013/11/30,449918,2017/07/03,2017/09/30,2017/10/01,2017/12/28,
8,7I5J1F,MinMax,Adam,L2,4,103,1,1,0.01,0.99,100,39987,1000,16384,0.8528,0.8308,0.5773,0.553,0.416,81.40%,71.20%,80.63%,71.89%,74.10%,75.57%,61.63%,61.73%,1h0'48'',Fri Jan 26 09:14:55 2018,Fri Jan 26 10:15:43 2018,/home/topleaf/stock/savedModel/7I5J1F,2009/12/31,2012/12/30,481376,2014/01/31,2014/04/30,2014/5/1,2014/7/31,
24,QNP86O,MinMax,Adam,L2,6,68,1,1,0.01,0.99,100,39987,1000,16384,0.8222,0.8024,0.5672,0.5979,0.4606,78.89%,70.89%,77.76%,70.32%,69.43%,69.71%,67.36%,78.59%,0h59'8'',Sat Feb 24 18:55:41 2018,Sat Feb 24 19:54:50 2018,/home/topleaf/stock/savedModel/QNP86O,2011/12/31,2014/05/30,469590,2017/07/03,2017/09/30,2017/10/01,2017/12/28,
25,JZ2OCJ,MinMax,Adam,L2,6,68,1,1,0.01,0.99,100,39987,1000,16384,0.8513,0.8308,0.5677,0.5832,0.4148,81.67%,71.85%,80.83%,72.70%,70.22%,69.71%,75.52%,78.59%,0h53'30'',Sat Feb 24 19:54:50 2018,Sat Feb 24 20:48:20 2018,/home/topleaf/stock/savedModel/JZ2OCJ,2010/12/31,2013/05/30,423893,2017/07/03,2017/09/30,2017/10/01,2017/12/28,
16,UGLR8Z,MinMax,Adam,L2,6,84,1,1,0.01,0.99,100,39987,1000,16384,0.8384,0.8185,0.5585,0.5713,0.46,78.42%,66.44%,77.55%,67.02%,66.28%,69.71%,67.29%,78.59%,1h14'0'',Wed Jan 31 19:00:07 2018,Wed Jan 31 20:14:07 2018,/home/topleaf/stock/savedModel/UGLR8Z,2013/12/31,2016/12/30,578979,2017/07/03,2017/09/30,2017/10/01,2017/12/28,
23,ZCBAZ3,MinMax,Adam,L2,6,68,1,1,0.01,0.99,100,39987,1000,16384,0.8236,0.8045,0.5185,0.5688,0.4791,77.34%,65.67%,75.83%,64.17%,56.55%,69.71%,46.24%,78.59%,0h58'11'',Sat Feb 24 17:57:29 2018,Sat Feb 24 18:55:41 2018,/home/topleaf/stock/savedModel/ZCBAZ3,2012/12/31,2015/05/30,453906,2017/07/03,2017/09/30,2017/10/01,2017/12/28,
21,1NX1YP,MinMax,Adam,,6,68,0.95,0.8,0.01,0.99,100,39987,1000,16384,0.8006,0.7821,0.5848,0.5592,0.5289,74.26%,66.45%,73.45%,65.99%,64.68%,69.71%,66.70%,78.59%,1h14'59'',Thu Feb 22 17:33:54 2018,Thu Feb 22 18:48:53 2018,/home/topleaf/stock/savedModel/1NX1YP,2013/12/31,2016/12/30,578979,2017/07/03,2017/09/30,2017/10/01,2017/12/28,
12,UJMKRX,MinMax,Adam,L2,6,84,1,1,0.01,0.99,100,39987,1000,16384,0.8532,0.8345,0.5274,0.575,0.4496,79.42%,66.90%,79.05%,68.24%,74.41%,75.57%,60.22%,61.73%,1h8'15'',Fri Jan 26 21:10:46 2018,Fri Jan 26 22:19:01 2018,/home/topleaf/stock/savedModel/UJMKRX,2005/01/04,2010/03/30,559437,2014/01/31,2014/04/30,2014/5/1,2014/7/31,
30,ZT4KVR,MinMax,Adam,L2,6,68,1,1,0.01,0.99,100,39987,1000,16384,0.8226,0.8046,0.5277,0.5227,0.4772,78.27%,68.43%,77.74%,69.86%,56.62%,69.71%,39.76%,78.59%,1h2'6'',Sun Feb 25 22:49:27 2018,Sun Feb 25 23:51:34 2018,/home/topleaf/stock/savedModel/ZT4KVR,2012/06/30,2014/11/30,473537,2017/07/03,2017/09/30,2017/10/01,2017/12/28,
29,C10MD8,MinMax,Adam,L2,6,68,1,1,0.01,0.99,100,39987,1000,16384,0.8259,0.8081,0.5265,0.5472,0.4577,79.03%,69.70%,77.80%,69.56%,57.02%,69.71%,45.53%,78.59%,0h54'0'',Sun Feb 25 00:06:13 2018,Sun Feb 25 01:00:13 2018,/home/topleaf/stock/savedModel/C10MD8,2012/03/31,2014/08/31,478427,2017/07/03,2017/09/30,2017/10/01,2017/12/28,
19,GYLFMI,MinMax,Adam,L2,6,84,1,1,0.01,0.99,100,12,1500,16384,0.827,0.8095,0.5475,0.5714,0.4818,73.94%,66.44%,73.98%,67.00%,68.58%,69.71%,75.09%,78.59%,1h57'17'',Sun Feb 11 17:50:10 2018,Sun Feb 11 19:47:27 2018,/home/topleaf/stock/savedModel/GYLFMI,2013/12/31,2016/12/30,578979,2017/07/03,2017/09/30,2017/10/01,2017/12/28,
7,SRDG1L,MinMax,Adam,L2,4,103,1,1,0.01,0.99,100,39987,1000,16384,0.8368,0.8195,0.5779,0.5039,0.4382,80.07%,71.72%,78.76%,71.34%,73.55%,75.57%,61.12%,61.73%,0h58'56'',Thu Jan 25 22:41:10 2018,Thu Jan 25 23:40:07 2018,/home/topleaf/stock/savedModel/SRDG1L,2010/12/31,2013/12/30,542604,2014/01/31,2014/04/30,2014/5/1,2014/7/31,
9,4JB30G,MinMax,Adam,L2,4,103,1,1,0.01,0.99,100,39987,1000,16384,0.8532,0.8381,0.5273,0.5296,0.4445,79.18%,66.93%,77.40%,65.63%,72.23%,75.57%,59.41%,61.73%,1h12'23'',Fri Jan 26 11:10:13 2018,Fri Jan 26 12:22:36 2018,/home/topleaf/stock/savedModel/4JB30G,2005/01/04,2010/03/30,559437,2014/01/31,2014/04/30,2014/5/1,2014/7/31,
